strut_id,defect,x0,y0,z0,x1,y1,z1,deep_interior
0,bent,64.0,57.0,33.0,108.1,98.6,18.7,0
7,bent,64.0,55.0,109.5,64.8,97.4,63.2,0
9,bent,142.2,55.2,32.8,100.6,57.1,66.5,0
10,missing,64.0,55.0,109.5,100.6,57.1,66.5,0
13,bent,64.8,97.4,63.2,108.1,98.6,18.7,0
16,bent,140.2,92.4,67.9,108.1,98.6,18.7,0
35,bent,217.0,55.4,107.0,178.4,56.0,68.1,0
37,bent,140.2,92.4,67.9,171.0,99.0,27.0,0
47,bent,179.3,132.9,68.2,171.0,99.0,27.0,0
53,bent,214.7,138.2,20.5,217.8,93.4,68.2,0
58,bent,217.0,55.4,107.0,257.0,55.4,68.5,0
90,bent,373.8,91.8,68.8,335.0,91.8,107.8,0
154,bent,529.7,53.3,109.1,569.0,54.0,69.5,0
197,bent,682.3,131.4,22.4,685.4,89.2,69.8,0
201,bent,754.5,124.4,38.0,761.8,87.2,69.1,0
212,bent,761.8,87.2,69.1,729.0,99.0,22.0,0
214,missing,761.8,87.2,69.1,724.0,89.5,110.3,0
219,bent,724.8,127.1,70.9,729.0,99.0,22.0,0
229,bent,135.2,133.8,16.0,103.0,132.2,67.4,0
239,bent,103.0,132.2,67.4,106.3,171.4,26.7,0
248,bent,135.2,133.8,16.0,140.6,171.4,68.5,0
253,bent,214.7,138.2,20.5,179.3,132.9,68.2,0
256,bent,140.6,171.4,68.5,180.2,171.0,108.1,0
272,bent,214.7,138.2,20.5,218.9,171.3,68.7,0
397,bent,682.3,131.4,22.4,646.9,128.6,70.6,0
416,bent,682.3,131.4,22.4,687.1,166.8,70.2,0
417,disconnected,678.0,215.1,22.2,687.1,166.8,70.2,0
421,bent,754.4,201.0,34.4,761.1,166.2,71.4,0
424,bent,682.3,131.4,22.4,724.8,127.1,70.9,0
432,bent,761.1,166.2,71.4,725.9,174.8,32.6,0
450,bent,65.9,210.0,106.1,102.6,210.2,68.2,0
453,bent,66.6,248.8,68.2,109.3,249.7,23.0,0
463,bent,102.9,288.6,68.1,109.3,249.7,23.0,0
475,bent,219.5,211.5,107.1,180.0,211.7,67.4,0
492,bent,222.5,217.9,19.1,219.2,250.2,68.8,0
496,bent,222.5,217.9,19.1,257.3,211.2,70.1,0
523,bent,374.2,209.8,109.0,335.9,210.9,69.6,0
