strut_id,defect,subtype,region,orientation,x0,y0,z0,x1,y1,z1,z_slice_from,z_slice_to,length_um,node0_state,node1_state,gap_um,surviving_piece_um,diameter_median_um,diameter_thinnest_um,bow_um,graph_hops,detached_at_joint
10,missing,dropped,boundary,vertical,64.0,55.0,109.5,100.62,57.12,66.5,66,110,3284.0,junction,junction,2059.0,0.0,,,,2,0
214,missing,dropped,boundary,vertical,761.75,87.25,69.12,724.0,89.47,110.27,69,110,3247.0,junction,junction,2201.0,0.0,,,,2,0
1666,missing,dropped,interior,vertical,456.64,680.5,110.36,456.11,640.44,69.31,69,110,3333.0,junction,junction,2033.0,0.0,,,,2,0
1728,missing,dropped,interior,flat,650.38,599.54,70.69,691.41,639.05,71.77,71,72,3310.0,junction,junction,2019.0,0.0,,,,2,0
1773,missing,node_lost,boundary,vertical,67.12,760.25,27.99,105.25,753.0,68.25,28,68,3249.0,absent,junction,1927.0,55.0,,,,-1,0
1774,missing,node_lost,boundary,vertical,66.98,760.28,106.62,105.25,753.0,68.25,68,107,3177.0,absent,junction,2477.0,108.0,,,,-1,0
1775,missing,dropped,boundary,vertical,143.25,752.25,106.75,105.25,753.0,68.25,68,107,3143.0,junction,junction,1811.0,53.0,,,,2,0
1802,missing,dropped,boundary,vertical,143.25,752.25,106.75,182.0,752.5,68.0,68,107,3184.0,junction,junction,1727.0,108.0,,,,2,0
1803,missing,dropped,boundary,vertical,223.0,751.5,107.5,182.0,752.5,68.0,68,108,3308.0,junction,junction,1794.0,112.0,,,,2,0
1829,missing,dropped,boundary,vertical,222.88,754.64,25.39,261.0,752.0,68.25,25,68,3336.0,partial,junction,1753.0,170.0,,,,-1,0
1830,missing,dropped,boundary,vertical,223.0,751.5,107.5,261.0,752.0,68.25,68,108,3174.0,junction,junction,1722.0,161.0,,,,2,0
1831,missing,dropped,boundary,vertical,300.0,751.25,108.25,261.0,752.0,68.25,68,108,3246.0,junction,junction,1761.0,110.0,,,,2,0
1856,missing,dropped,boundary,vertical,378.48,753.9,25.99,339.0,751.25,68.25,26,68,3364.0,partial,junction,1767.0,171.0,,,,-1,0
1858,missing,dropped,boundary,vertical,300.0,751.25,108.25,339.0,751.25,68.25,68,108,3246.0,junction,junction,1760.0,110.0,,,,2,0
1859,missing,dropped,boundary,vertical,378.0,750.75,108.5,339.0,751.25,68.25,68,108,3256.0,junction,junction,1821.0,110.0,,,,2,0
1885,missing,dropped,boundary,vertical,378.48,753.9,25.99,417.0,750.75,69.0,26,69,3360.0,partial,junction,1822.0,171.0,,,,-1,0
1886,missing,dropped,boundary,vertical,378.0,750.75,108.5,417.0,750.75,69.0,69,108,3225.0,junction,junction,1749.0,164.0,,,,2,0
1887,missing,dropped,boundary,vertical,456.0,750.5,108.5,417.0,750.75,69.0,69,108,3225.0,junction,junction,1749.0,164.0,,,,2,0
1914,missing,dropped,boundary,vertical,456.0,750.5,108.5,495.5,749.25,69.25,69,108,3236.0,junction,junction,1700.0,165.0,,,,2,0
1915,missing,dropped,boundary,vertical,533.75,749.5,108.75,495.5,749.25,69.25,69,109,3195.0,junction,junction,1787.0,108.0,,,,2,0
1942,missing,dropped,boundary,vertical,533.75,749.5,108.75,573.5,750.0,70.0,70,109,3225.0,junction,junction,1749.0,109.0,,,,2,0
1943,missing,dropped,boundary,vertical,612.75,748.75,109.0,573.5,750.0,70.0,70,109,3216.0,junction,junction,1799.0,109.0,,,,2,0
1969,missing,dropped,boundary,vertical,613.0,749.0,39.0,651.25,749.25,69.5,39,70,2842.0,junction,junction,1542.0,193.0,,,,2,0
1970,missing,dropped,boundary,vertical,612.75,748.75,109.0,651.25,749.25,69.5,70,109,3205.0,junction,junction,1738.0,109.0,,,,2,0
1971,missing,dropped,boundary,vertical,690.75,749.0,109.75,651.25,749.25,69.5,70,110,3277.0,junction,junction,1722.0,167.0,,,,2,0
2002,missing,dropped,boundary,vertical,690.75,749.0,109.75,729.75,748.25,70.75,71,110,3205.0,junction,junction,1792.0,109.0,,,,2,0
2003,missing,dropped,boundary,vertical,764.67,749.0,110.0,729.75,748.25,70.75,71,110,3052.0,junction,junction,1707.0,155.0,,,,2,0
2251,missing,dropped,boundary,flat,64.73,171.45,146.64,102.36,131.45,146.55,147,147,3191.0,junction,junction,2001.0,0.0,,,,2,0
2289,missing,dropped,interior,vertical,219.53,211.47,107.07,218.2,171.3,148.2,107,148,3341.0,junction,junction,1982.0,57.0,,,,2,0
2303,missing,dropped,interior,vertical,257.23,131.38,147.77,258.29,172.0,107.14,107,148,3338.0,junction,junction,2037.0,0.0,,,,2,0
2359,missing,dropped,interior,flat,452.73,210.6,108.08,492.31,169.06,108.68,108,109,3334.0,junction,junction,2034.0,57.0,,,,2,0
3256,missing,dropped,interior,flat,493.0,443.83,148.5,533.17,484.58,148.92,148,149,3324.0,junction,junction,2085.0,0.0,,,,2,0
3779,missing,node_lost,boundary,flat,66.98,760.28,106.62,104.89,722.56,107.56,107,108,3108.0,absent,junction,2581.0,0.0,,,,-1,0
3781,missing,node_lost,boundary,vertical,66.98,760.28,106.62,68.0,722.71,146.29,107,146,3175.0,absent,junction,2583.0,0.0,,,,-1,0
3788,missing,dropped,boundary,vertical,143.25,752.25,106.75,104.5,753.5,145.75,107,146,3195.0,junction,junction,1787.0,108.0,,,,2,0
3789,missing,node_lost,boundary,vertical,66.98,760.28,106.62,104.5,753.5,145.75,107,146,3174.0,absent,junction,2529.0,54.0,,,,-1,0
3790,missing,dropped,boundary,vertical,70.67,753.33,186.67,104.5,753.5,145.75,146,187,3085.0,junction,junction,1673.0,209.0,,,,2,0
3791,missing,dropped,boundary,vertical,140.33,753.0,185.0,104.5,753.5,145.75,146,185,3088.0,junction,junction,1780.0,157.0,,,,2,0
3816,missing,dropped,boundary,vertical,223.0,751.5,107.5,182.25,752.5,146.5,108,146,3278.0,junction,junction,1778.0,111.0,,,,2,0
3817,missing,dropped,boundary,vertical,143.25,752.25,106.75,182.25,752.5,146.5,107,146,3235.0,junction,junction,1755.0,165.0,,,,2,0
3819,missing,dropped,boundary,vertical,221.5,751.75,185.75,182.25,752.5,146.5,146,186,3225.0,junction,junction,1913.0,55.0,,,,2,0
3844,missing,dropped,boundary,vertical,300.0,751.25,108.25,261.25,752.0,147.25,108,147,3195.0,junction,junction,1733.0,108.0,,,,2,0
3845,missing,dropped,boundary,vertical,223.0,751.5,107.5,261.25,752.0,147.25,108,147,3205.0,junction,junction,1738.0,163.0,,,,2,0
3846,missing,dropped,boundary,vertical,221.5,751.75,185.75,261.25,752.0,147.25,147,186,3215.0,junction,junction,1744.0,109.0,,,,2,0
3847,missing,dropped,boundary,vertical,299.75,751.75,186.0,261.25,752.0,147.25,147,186,3174.0,junction,junction,1829.0,54.0,,,,2,0
3872,missing,dropped,boundary,vertical,378.0,750.75,108.5,338.5,751.25,147.0,108,147,3205.0,junction,junction,1793.0,109.0,,,,2,0
3873,missing,dropped,boundary,vertical,300.0,751.25,108.25,338.5,751.25,147.0,108,147,3174.0,junction,junction,1775.0,108.0,,,,2,0
3874,missing,dropped,boundary,vertical,299.75,751.75,186.0,338.5,751.25,147.0,147,186,3194.0,junction,junction,1787.0,108.0,,,,2,0
3875,missing,dropped,boundary,vertical,378.25,751.25,186.25,338.5,751.25,147.0,147,186,3246.0,junction,junction,1815.0,110.0,,,,2,0
3900,missing,dropped,boundary,vertical,456.0,750.5,108.5,417.25,750.5,147.0,108,147,3174.0,junction,junction,1775.0,108.0,,,,2,0
3901,missing,dropped,boundary,vertical,378.0,750.75,108.5,417.25,750.5,147.0,108,147,3194.0,junction,junction,1787.0,108.0,,,,2,0
3902,missing,dropped,boundary,vertical,378.25,751.25,186.25,417.25,750.5,147.0,147,186,3215.0,junction,junction,1798.0,109.0,,,,2,0
3903,missing,dropped,boundary,vertical,455.75,749.5,187.0,417.25,750.5,147.0,147,187,3226.0,junction,junction,1750.0,109.0,,,,2,0
3928,missing,dropped,boundary,vertical,533.75,749.5,108.75,495.5,750.5,147.75,109,148,3174.0,junction,junction,1775.0,108.0,,,,2,0
3929,missing,dropped,boundary,vertical,456.0,750.5,108.5,495.5,750.5,147.75,108,148,3235.0,junction,junction,1864.0,55.0,,,,2,0
3930,missing,dropped,boundary,vertical,455.75,749.5,187.0,495.5,750.5,147.75,148,187,3246.0,junction,junction,1706.0,165.0,,,,2,0
3931,missing,dropped,boundary,vertical,534.0,749.75,186.75,495.5,750.5,147.75,148,187,3184.0,junction,junction,1781.0,108.0,,,,2,0
3956,missing,dropped,boundary,vertical,612.75,748.75,109.0,572.75,749.5,148.25,109,148,3256.0,junction,junction,1766.0,166.0,,,,2,0
3957,missing,dropped,boundary,vertical,533.75,749.5,108.75,572.75,749.5,148.25,109,148,3225.0,junction,junction,1695.0,164.0,,,,2,0
3958,missing,dropped,boundary,vertical,534.0,749.75,186.75,572.75,749.5,148.25,148,187,3174.0,junction,junction,1721.0,161.0,,,,2,0
3959,missing,dropped,boundary,vertical,611.75,748.0,188.0,572.75,749.5,148.25,148,188,3237.0,junction,junction,1755.0,110.0,,,,2,0
3984,missing,dropped,boundary,vertical,690.75,749.0,109.75,651.5,749.25,147.25,110,147,3154.0,junction,junction,1711.0,160.0,,,,2,0
3985,missing,dropped,boundary,vertical,612.75,748.75,109.0,651.5,749.25,147.25,109,147,3164.0,junction,junction,1716.0,107.0,,,,2,0
3986,missing,dropped,boundary,vertical,611.75,748.0,188.0,651.5,749.25,147.25,147,188,3308.0,junction,junction,1738.0,168.0,,,,2,0
3987,missing,dropped,boundary,vertical,690.0,748.75,187.75,651.5,749.25,147.25,147,188,3247.0,junction,junction,1816.0,110.0,,,,2,0
4016,missing,dropped,boundary,vertical,764.67,749.0,110.0,729.0,748.25,148.75,110,149,3060.0,junction,junction,1660.0,207.0,,,,2,0
4017,missing,dropped,boundary,vertical,690.75,749.0,109.75,729.0,748.25,148.75,110,149,3174.0,junction,junction,1722.0,108.0,,,,2,0
4018,missing,dropped,boundary,vertical,690.0,748.75,187.75,729.0,748.25,148.75,149,188,3205.0,junction,junction,1792.0,109.0,,,,2,0
4101,missing,dropped,boundary,vertical,256.9,54.0,224.2,256.43,93.64,266.0,224,266,3347.0,junction,junction,2156.0,0.0,,,,2,0
4495,missing,dropped,interior,vertical,102.06,289.28,225.0,102.62,248.46,185.0,185,225,3320.0,junction,junction,2082.0,0.0,,,,2,0
4661,missing,dropped,interior,vertical,647.8,206.4,226.7,647.06,247.44,265.94,227,266,3300.0,junction,junction,2013.0,56.0,,,,2,0
